fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
CALIOPE, FI*CALIOPE, FI*67047084*Semester 1 2016*2016-01-01*2016-12-31*5188*a través del formulario disponible en www.lacaixa.es - Inversión y bolsa - Atención al cliente - Correo electrónico*BBB*3 - Medio-bajo****[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 2 2019*2019-07-01*2019-12-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.27*-0.27**17898.72*129*0.0*103492*false*5.7821*0.69*0.0*0.69*0.06*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 2 2019*2019-07-01*2019-12-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.27*-0.27**2809852.2*2*0.0*16700953*false*5.9437*0.16*0.0*0.16*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 3 2019*2019-07-01*2019-09-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.13*-0.22**14916.58*115*0.0*86195*false*5.7785*0.35*0.0*0.35*0.03*0.31*1.54*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 3 2019*2019-07-01*2019-09-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.13*-0.22**2809852.2*2*0.0*16642672*false*5.923*0.08*0.0*0.08*0.01*0.6*1.54*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 1 2019*2019-01-01*2019-06-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.34*-0.09**14115.46*115*0.0*81312*false*5.7606*0.68*0.0*0.68*0.06*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 1 2019*2019-01-01*2019-06-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.34*-0.09**2809852.2*2*0.0*16543420*false*5.8876*0.16*0.0*0.16*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 1 2019*2019-01-01*2019-03-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*2 - Bajo*0.15*-0.01**9981.97*114*0.0*56981*false*5.7085*0.33*0.0*0.33*0.03*2.29*1.59*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 1 2019*2019-01-01*2019-03-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB*2 - Bajo*0.15*-0.01**2809852.2*2*0.0*16325876*false*5.8102*0.08*0.14*0.22*0.01*2.43*1.5*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 2 2020*2020-07-01*2020-12-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.2*-0.04**40141.88*133*0.0*231691*false*5.7718*0.69*0.0*0.69*0.06*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 2 2020*2020-07-01*2020-12-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.2*-0.04**2108604.25*2*0.0*12654964*false*6.0016*0.16*0.0*0.16*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 3 2020*2020-07-01*2020-09-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.17*0.0**21857.03*142*0.0*123845*false*5.6662*0.35*0.0*0.35*0.03*1.06*2.07*0.44*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 3 2020*2020-07-01*2020-09-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*3 - Medio-bajo*0.17*0.0**2108604.25*2*0.0*12387376*false*5.8747*0.08*0.0*0.08*0.01*1.35*2.07*0.15*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 1 2020*2020-01-01*2020-06-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.53*-0.36**19332.89*148*0.0*108391*false*5.6066*0.68*0.0*0.68*0.06*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Semester 1 2020*2020-01-01*2020-06-30*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.53*-0.36**2108604.25*2*0.0*12221819*false*5.7962*0.16*0.0*0.16*0.01*[]*[]*[]*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 1 2020*2020-01-01*2020-03-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.3*-0.31**25111.28*146*0.0*133927*false*5.3334*0.34*0.0*0.34*0.03*-7.76*8.35*0.43*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
CALIOPE, FI*CALIOPE, FI*67047084*Trimester 1 2020*2020-01-01*2020-03-31*5188*a través del formulario disponible en www.caixabank.es   Atención al cliente   Correo electrónico*BBB+*2 - Bajo*0.3*-0.31**2809852.2*2*0.0*15448533*false*5.498*0.08*0.0*0.08*0.01*-7.5*8.34*0.14*CAIXABANK ASSET MANAGEMENT SGIIC, S.A.*CECABANK, S.A.*
