fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2013 S2*2013-07-01*2013-12-31*Moderado*0.17*0.34**975185.88*354*0.0*8062188*false*8.2673*0.55*0.0*0.55*0.04*1.08*1.55*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2013 T3*2013-07-01*2013-09-30*Moderado*0.0*0.39**954720.01*342*0.0*7808986*false*8.1793*0.28*0.0*0.28*0.02*1.56*1.15*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2013 S1*2013-01-01*2013-06-30*Moderado*0.32*0.25**967563.39*342*0.0*7792293*false*8.0535*0.55*0.0*0.55*0.04*0.19*1.65*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2013 T1*2013-01-01*2013-03-31*Moderado*0.13*0.15**1010912.29*342*0.0*8125729*false*8.038*0.27*0.0*0.27*0.02*0.62*0.63*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2014 T3*2014-07-01*2014-09-30*Moderado*0.0*0.25**933436.79*375*0.0*8081044*false*8.6573*0.28*0.0*0.28*0.02*0.83*1.49*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2014 S1*2014-01-01*2014-06-30*Moderado*0.0*0.25**944701.32*371*0.0*8111327*false*8.5861*0.55*0.0*0.55*0.04*1.27*1.78*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2014 T1*2014-01-01*2014-03-31*Moderado*0.05*0.25**964783.49*364*0.0*8180052*false*8.4786*0.27*0.0*0.27*0.02*2.56*1.54*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2015 S2*2015-07-01*2015-12-31*Moderado*0.0*0.14**857915.38*378*0.0*7434227*false*8.6655*0.55*0.0*0.55*0.03*0.49*1.41*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2015 T3*2015-07-01*2015-09-30*Moderado*0.0*0.17**914982.41*379*0.0*7890367*false*8.6235*0.28*0.0*0.28*0.01*0.56*1.3*0.31
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2015 S1*2015-01-01*2015-06-30*Moderado*0.01*0.15**973714.08*396*0.0*8350193*false*8.5756*0.55*0.0*0.55*0.03*-1.7*1.76*0.3
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2015 T1*2015-01-01*2015-03-31*Moderado*0.0*0.15**1000635.37*399*0.0*8729633*false*8.7241*0.27*0.0*0.27*0.01*0.86*1.25*0.3
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2016 S2*2016-07-01*2016-12-31*Moderado*0.0*0.0**836745.76*384*0.0*7330063*false*8.7602*0.4*0.0*0.4*0.03*-0.35*0.83*0.24
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2016 T3*2016-07-01*2016-09-30*Moderado*0.07*0.0**824234.53*373*0.0*7245654*false*8.7908*0.2*0.0*0.2*0.01*0.3*0.63*0.23
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2016 S1*2016-01-01*2016-06-30*Moderado*0.25*0.02**821590.65*375*0.0*7200952*false*8.7646*0.4*0.0*0.4*0.02*0.48*0.88*0.24
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2016 T1*2016-01-01*2016-03-31*Moderado*0.19*0.04**832946.1*372*0.0*7265301*false*8.7224*0.2*0.0*0.2*0.01*0.66*1.07*0.23
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2017 S2*2017-07-01*2017-12-31*Conservador*0.0*-0.42**2903982.44*361*0.0*25335291*false*8.7243*0.38*0.0*0.38*0.02*-0.14*0.62*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2017 T3*2017-07-01*2017-09-30*Conservador*0.0*-0.36**814536.89*364*0.0*7116298*false*8.7366*0.19*0.0*0.19*0.01*-0.02*0.48*0.22
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2017 S1*2017-01-01*2017-06-30*Moderado*0.0*-0.17**813761.89*370*0.0*7110792*false*8.7382*0.37*0.0*0.37*0.02*-0.05*0.6*0.23
GCO RENTA FIJA, FI*Fonbilbao Renta Fija, FI*2017 T1*2017-01-01*2017-03-31*Moderado*0.0*0.0**812308.23*377*0.0*7101965*false*8.7429*0.18*0.0*0.18*0.01*-0.2*0.72*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2018 S2*2018-07-01*2018-12-31*Conservador*0.0*-0.25**2448553.78*346*0.0*21142189*false*8.6346*0.38*0.0*0.38*0.02*-0.36*0.71*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2018 T3*2018-07-01*2018-09-30*Conservador*0.0*-0.01**2603279.34*346*0.0*22560470*false*8.6662*0.19*0.0*0.19*0.01*-0.36*0.61*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2018 S1*2018-01-01*2018-06-30*Conservador*0.0*-0.03**2855812.16*344*0.0*24837571*false*8.6972*0.37*0.0*0.37*0.02*-0.39*1.09*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2018 T1*2018-01-01*2018-03-31*Conservador*0.0*-0.04**2989791.39*352*0.0*26104118*false*8.7311*0.18*0.0*0.18*0.01*0.08*0.62*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2019 S2*2019-07-01*2019-12-31*Conservador*0.0*-0.36**2914737.83*340*0.0*25520318*false*8.7556*0.38*0.0*0.38*0.02*-0.4*0.6*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2019 T3*2019-07-01*2019-09-30*Conservador*0.0*-0.35**2691718.25*329*0.0*23661158*false*8.7904*0.19*0.0*0.19*0.01*0.11*0.69*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2019 S1*2019-01-01*2019-06-30*Conservador*0.03*-0.31**2552534.66*328*0.0*22412878*false*8.7806*0.37*0.0*0.37*0.02*0.63*0.72*0.21
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2019 T1*2019-01-01*2019-03-31*Conservador*0.07*-0.29**2491213.44*333*0.0*21737951*false*8.7258*0.18*0.0*0.18*0.01*1.06*0.68*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2020 S2*2020-07-01*2020-12-31*Conservador*0.0*-0.43**3324595.61*331*0.0*29143998*false*8.7662*0.38*0.0*0.38*0.02*0.42*0.43*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2020 T3*2020-07-01*2020-09-30*Conservador*0.01*-0.42**2833251.78*335*0.0*24731864*false*8.7291*0.19*0.0*0.19*0.01*0.84*0.59*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2020 S1*2020-01-01*2020-06-30*Conservador*0.0*-0.42**2813087.16*340*0.0*24351669*false*8.6566*0.37*0.0*0.37*0.02*1.53*1.34*0.2
GCO RENTA FIJA, FI*GCO Renta Fija, FI*2020 T1*2020-01-01*2020-03-31*Conservador*0.0*-0.42**3131046.59*352*0.0*26696601*false*8.5264*0.19*0.0*0.19*0.01*-2.62*2.2*0.2
